date,lat,lon,sst_celsius,lss_class
2025-07-17,30.6700,121.9500,28.13,1
2025-07-17,30.6800,121.3400,30.21,1
2025-07-17,30.6800,121.3500,30.19,1
2025-07-17,30.6800,121.3600,30.17,1
2025-07-17,30.6800,121.8900,28.28,1
2025-07-17,30.6800,121.9000,28.27,1
2025-07-17,30.6800,121.9100,28.29,1
2025-07-17,30.6800,121.9200,28.27,1
2025-07-17,30.6800,121.9300,28.23,1
2025-07-17,30.6800,121.9400,28.21,1
2025-07-17,30.6900,121.8800,28.31,1
2025-07-17,30.6900,121.8900,28.27,1
2025-07-17,30.6900,121.9000,28.25,1
2025-07-17,30.6900,121.9100,28.26,1
2025-07-17,30.6900,121.9200,28.21,1
2025-07-17,30.6900,121.9300,28.17,1
2025-07-17,30.7000,121.4300,29.74,1
2025-07-17,30.7000,121.4400,29.71,1
2025-07-17,30.7000,121.8800,28.26,1
2025-07-17,30.7000,121.8900,28.22,1
2025-07-17,30.7000,121.9100,28.20,1
2025-07-17,30.7000,121.9200,28.15,1
2025-07-17,30.7000,121.9300,28.11,1
2025-07-17,30.7000,121.9400,28.08,1
2025-07-17,30.7100,121.4300,29.92,1
2025-07-17,30.7100,121.4400,29.89,1
2025-07-17,30.7100,121.4500,29.84,1
2025-07-17,30.7100,121.4600,29.74,1
2025-07-17,30.7100,121.9300,28.06,1
2025-07-17,30.7100,121.9400,28.03,1
